,Quantity,Rate,Value
Alu Edge F-Type 20.5*1*3M Polished 01-3730,806 Pcs,73.97,59617.75
Showroom,260 Pcs,229.30,59617.75
Warehouse Satarkul,546 Pcs,,
Alu Edge F-Type 21*0.6*2.44M Shining 01-3743,223 Pcs,172.58,38485.04
Showroom,223 Pcs,172.58,38485.04
Alu Edge GL012 F-Type X3M Black -Matt 01-3733,775 Pcs,72.84,56452.81
Showroom,135 Pcs,418.17,56452.81
Warehouse Satarkul,640 Pcs,,
Alu Edge GL012 F-Type X3M Silver -Matt 01-3733,570 Pcs,59.30,33799.55
Showroom,90 Pcs,375.55,33799.55
Warehouse Satarkul,480 Pcs,,
Alu Edge GL074 F 19.3x3M Silver Matt 01-3704,1344 Pcs,70.63,94923.12
Showroom,344 Pcs,275.94,94923.12
Warehouse Satarkul,1000 Pcs,,
Alu Edge GL074 F-Type 19.3X3M Champagne Brush 01-3734,793 Pcs,6.14,4869.76
Showroom,193 Pcs,25.23,4869.76
Warehouse Satarkul,600 Pcs,,
Alu Edge GL075 F 19.5x3M Champagne Brush 01-3735,437 Pcs,18.70,8171.05
Showroom,43 Pcs,190.02,8171.05
Warehouse Satarkul,394 Pcs,,
Alu Edge GL075 F 19.5x3M Champagne Matt 01-3735,433 Pcs,33.61,14552.19
Showroom,113 Pcs,128.78,14552.19
Warehouse Satarkul,320 Pcs,,
Alu Edge GL075 F 19.5x3M Polish Blue Brush 01-3735,2067 Pcs,12.77,26387.08
Showroom,150 Pcs,175.91,26387.08
Warehouse Satarkul,1917 Pcs,,
Aluminum Post For Partition 300mm 01-0702,80 Pcs,290.00,23200.00
Warehouse Badda,80 Pcs,290.00,23200.00
Aluminum Profile Tee 10mm*2.44M Champaign 01-3736,2 Pcs,160.00,320.00
Showroom,2 Pcs,160.00,320.00
Aluminum Profile Tee 10mm*2.44M Rose Gold 01-3736,648 Pcs,160.00,103680.00
Showroom,648 Pcs,160.00,103680.00
Aluminum Profile Tee 12mm*2.44M Champaign 01-3736,4 Pcs,176.79,707.17
Showroom,4 Pcs,176.79,707.17
Aluminum Profile Tee 12mm*2.44M Rose Gold 01-3736,411 Pcs,175.00,71925.00
Showroom,411 Pcs,175.00,71925.00
Aluminum Profile Tee 18mm*2.44M Champaign 01-3736,141 Pcs,205.00,28905.00
Showroom,141 Pcs,205.00,28905.00
Aluminum Profile Tee 18mm*2.44M Rose Gold 01-3736,564 Pcs,205.00,115620.00
Showroom,564 Pcs,205.00,115620.00
Aluminum Profile Tee 6mm*2.44M Black  01-3736,148 Pcs,98.02,14507.18
Showroom,148 Pcs,98.02,14507.18
Aluminum Profile Tee 6mm*2.44M Champaign 01-3736,691 Pcs,120.01,82926.99
Showroom,691 Pcs,120.01,82926.99
Aluminum Profile Tee 6mm*2.44M Gold  01-3736,244 Pcs,98.02,23915.87
Showroom,244 Pcs,98.02,23915.87
Aluminum Profile Tee 6mm*2.44M High Gloss 01-3736,209 Pcs,109.90,22968.11
Showroom,209 Pcs,109.90,22968.11
Aluminum Profile Tee 6mm*2.44M Rose Gold 01-3736,917 Pcs,98.10,89959.83
Showroom,917 Pcs,98.10,89959.83
Aluminum Profile Tee 8mm*2.44M Champaign 01-3736,5 Pcs,120.00,600.00
Showroom,5 Pcs,120.00,600.00
Aluminum Profile Tee 8mm*2.44M Gold 01-3736,8 Pcs,105.00,840.00
Showroom,8 Pcs,105.00,840.00
Aluminum Profile Tee 8mm*2.44M High Gloss 01-3736,15 Pcs,105.00,1575.00
Showroom,15 Pcs,105.00,1575.00
Aluminum Profile Tee  8mm*2.44M Rose Gold 01-3736,339 Pcs,114.71,38885.16
Showroom,339 Pcs,114.71,38885.16
Aluminum U-Channel 5mm*6mm*2.7mtr 01-3608,-69 Pcs,10.72,-739.82
Showroom,-69 Pcs,10.72,-739.82
Alu Mirror Frame 1000*350mm 01-3748,2 Pcs,3375.00,6750.00
Showroom,2 Pcs,3375.00,6750.00
Alu Skirting 60mm*3Mtr Black 01-3746,233 Pcs,57.77,13460.63
Showroom,233 Pcs,57.77,13460.63
Alu Skirting 60mm*3Mtr Silver 01-3746,335 Pcs,339.07,113586.93
Showroom,75 Pcs,28.78,2158.36
Warehouse Satarkul,260 Pcs,428.57,111428.57
Alu Skirting End Cap Left 60mm Black 01-3747,233 Pcs,41.10,9577.09
Showroom,83 Pcs,6.95,577.09
Warehouse Satarkul,150 Pcs,60.00,9000.00
Alu Skirting End Cap Left 60mm Silver 01-3747,279 Pcs,45.32,12644.44
Showroom,129 Pcs,28.25,3644.44
Warehouse Satarkul,150 Pcs,60.00,9000.00
Alu Skirting End Cap Right 60mm Black 01-3747,236 Pcs,42.57,10046.87
Showroom,86 Pcs,12.17,1046.87
Warehouse Satarkul,150 Pcs,60.00,9000.00
Alu Skirting End Cap Right 60mm Silver 01-3747,247 Pcs,47.56,11747.08
Showroom,97 Pcs,28.32,2747.08
Warehouse Satarkul,150 Pcs,60.00,9000.00
Alu Skirting Inner Corner 60mm Black 01-3747,296 Pcs,47.64,14100.00
Showroom,146 Pcs,,
Warehouse Satarkul,150 Pcs,94.00,14100.00
Alu Skirting Inner Corner 60mm Silver 01-3747,320 Pcs,43.52,13926.37
Showroom,175 Pcs,1.69,296.37
Warehouse Satarkul,145 Pcs,94.00,13630.00
Alu Skirting Middle Connector 60mm Black 01-3747,199 Pcs,47.26,9405.40
Showroom,99 Pcs,26.32,2605.40
Warehouse Satarkul,100 Pcs,68.00,6800.00
Alu Skirting Middle Connector 60mm Silver 01-3747,288 Pcs,33.53,9656.61
Showroom,147 Pcs,0.47,68.61
Warehouse Satarkul,141 Pcs,68.00,9588.00
Alu Skirting Outer Corner 60mm Black 01-3747,167 Pcs,2.81,469.42
Showroom,167 Pcs,2.81,469.42
Alu Skirting Outer Corner 60mm Silver 01-3747,230 Pcs,72.39,16649.15
Showroom,80 Pcs,31.86,2549.15
Warehouse Satarkul,150 Pcs,94.00,14100.00
Cabinet Glass Door Acc(No Frame)Opk/15kgs/01-5920,49 Pcs,568.00,27832.00
Warehouse Badda,49 Pcs,568.00,27832.00
Cabinet Sliding Wheel Soft Close 01-3333,40 Set,18.41,736.51
Showroom,40 Set,18.41,736.51
Damper for Submarine Roller 2pcs/30kgs 01-3336,49 Pcs,735.42,36035.50
Showroom,1 Pcs,371.50,371.50
Warehouse Badda,48 Pcs,743.00,35664.00
Decorative Profile/silver 3.0m 01-3336,6 Pcs,226.67,1360.00
Showroom,2 Pcs,,
Warehouse Badda,4 Pcs,340.00,1360.00
Folding 02 Doors Acc for Cabinet/OPK/80kg/01-5901,26 Pcs,4142.39,107702.25
Showroom,3 Pcs,3988.44,11965.31
Warehouse Badda,23 Pcs,4162.48,95736.94
Folding 04 Doors Acc for Cabinet/opk/80kg/01-5901,7 Pcs,8835.21,61846.49
Showroom,3 Pcs,8697.87,26093.60
Warehouse Badda,4 Pcs,8938.22,35752.89
Folding 2 Doors Fittings Acc for Cabinet/1Bar/4Hings/1TJ005B/OPK/30kg 01-5911,330 Pcs,1747.57,576697.21
Showroom,4 Pcs,1687.23,6748.90
Warehouse Badda,326 Pcs,1748.31,569948.31
Handle End Cap Shining 2pcs Set 01-2101,478 Pcs,21.43,10243.54
Showroom,478 Pcs,21.43,10243.54
Hanging Slide For B.Shutter/Damper/opk/15kg 01-5912,100 Pcs,2250.00,225000.00
Warehouse Badda,100 Pcs,2250.00,225000.00
Hanging Slide for Glass.D/Damper/opk/15kg 01-5912,42 Pcs,1550.00,65100.00
Showroom,19 Pcs,1550.00,29450.00
Warehouse Badda,23 Pcs,1550.00,35650.00
Metal C Doted Section 75*38*0.5mm*3M 01-3756,98 Pcs,270.00,26460.00
Warehouse Satarkul,98 Pcs,270.00,26460.00
Metal C Section 75*38*0.5mm*3M 01-3756,38 Pcs,265.13,10075.02
Showroom,-2 Pcs,270.15,-540.30
Warehouse Satarkul,40 Pcs,265.38,10615.32
Metal U Section 75*27*0.4mm*3M 01-3757,262 Pcs,255.01,66811.59
Showroom,59 Pcs,244.71,14438.14
Warehouse Satarkul,203 Pcs,258.00,52373.45
Profile Edge SS304 10*20*10mm*2.44M Gold/Shiny 01-3758,163 Pcs,573.50,93480.00
Showroom,40 Pcs,,
Warehouse Satarkul,123 Pcs,760.00,93480.00
Profile Edge SS304 10*20*10mm*2.44M Rose Gold/Shiny 01-3758,81 Pcs,403.46,32680.00
Showroom,38 Pcs,,
Warehouse Satarkul,43 Pcs,760.00,32680.00
Profile Edge SS304 10*20*10mm*2.44M Silver/Brushed 01-3758,237 Pcs,624.00,147888.05
Showroom,24 Pcs,,
Warehouse Satarkul,213 Pcs,694.31,147888.05
Profile Edge SS304 10*20*10mm*2.44M Silver/Brushed 01-3759,4 Pcs,1120.00,4480.00
Warehouse Satarkul,4 Pcs,1120.00,4480.00
Profile Edge SS304 3*20*10mm*2.44M Gold/Shiny 01-3741,287 Pcs,707.87,203160.00
Showroom,32 Pcs,292.50,9360.00
Warehouse Satarkul,255 Pcs,760.00,193800.00
Profile Edge SS304 3*20*10mm*2.44M Rose Gold/Shiny 01-3741,103 Pcs,410.57,42289.02
Showroom,49 Pcs,25.49,1249.02
Warehouse Satarkul,54 Pcs,760.00,41040.00
Profile Edge SS304 3*20*10mm*2.44M Silver/Brushed 01-3741,495 Pcs,663.04,328202.57
Showroom,40 Pcs,15.06,602.57
Warehouse Satarkul,455 Pcs,720.00,327600.00
Profile Handle 3m Polished Champaign 01-2105,380 Pcs,88.42,33600.00
Showroom,60 Pcs,560.00,33600.00
Warehouse Satarkul,320 Pcs,,
Profile Handle 3m Silver Matt 01-2105,119 Pcs,49.66,5909.18
Showroom,79 Pcs,74.80,5909.18
Warehouse Satarkul,40 Pcs,,
Profile Handle Champaign L-Type 18mm*3M 01-2107,4 Pcs,825.00,3300.00
Showroom,4 Pcs,825.00,3300.00
Profile Handle GL011 Polish Blue Brush 01-2107,11 Pcs,2334.00,25674.00
Showroom,11 Pcs,2334.00,25674.00
Profile Handle GL017 Champagne Brush 01-2104,194 Pcs,97.42,18900.00
Showroom,16 Pcs,1181.25,18900.00
Warehouse Satarkul,178 Pcs,,
Profile Handle Gold L-Type 20.5mm*3M 01-2109,163 Pcs,106.66,17385.45
Showroom,23 Pcs,755.89,17385.45
Warehouse Satarkul,140 Pcs,,
Profile Handle G-Type Gold 20.5mm*3M 01-2108,1173 Pcs,14.74,17289.78
Showroom,50 Pcs,345.80,17289.78
Warehouse Satarkul,1123 Pcs,,
Profile Handle G-Type Sampain 20.5mm*3M 01-2108,1432 Pcs,1.98,2838.44
Showroom,172 Pcs,16.50,2838.44
Warehouse Satarkul,1260 Pcs,,
Profile Handle G-Type Sampain Brush 20.5mm*3M 01-2108,52 Pcs,0.41,21.30
Showroom,5 Pcs,4.26,21.30
Warehouse Satarkul,47 Pcs,,
Profile Handle G-Type Shampain/Light 18mm*3M 01-2101,51 Pcs,90.74,4627.70
Showroom,31 Pcs,149.28,4627.70
Warehouse Satarkul,20 Pcs,,
Profile Handle G-Type Shining Hair Line 18mm*3M 01-2101,887 Pcs,26.54,23541.47
Showroom,87 Pcs,270.59,23541.47
Warehouse Satarkul,800 Pcs,,
Profile Handle G-Type Shining Hair Line 18mm*3M 01-2103,154 Pcs,304.40,46876.92
Showroom,54 Pcs,613.46,33126.92
Warehouse Satarkul,100 Pcs,137.50,13750.00
Profile Handle G-Type Shining/Heavy 01-2101,53 Pcs,537.74,28500.00
Showroom,38 Pcs,750.00,28500.00
Warehouse Damage,15 Pcs,,
Profile Handle G-Type Shining/Light 18mm*3M 01-2101,122 Pcs,74.20,9052.19
Showroom,42 Pcs,215.53,9052.19
Warehouse Satarkul,80 Pcs,,
Profile Handle Hollow Champaign 3m 01-2101,519 Pcs,76.64,39776.20
Showroom,32 Pcs,781.51,25008.28
Warehouse Badda,20 Pcs,738.40,14767.92
Warehouse Satarkul,467 Pcs,,
Profile Handle Hollow Shining 3m 01-2101,194 Pcs,129.60,25141.62
Showroom,32 Pcs,785.68,25141.62
Warehouse Satarkul,162 Pcs,,
Profile Handle Hollow XGX222L Polish Blue Brush 01-2104,225 Pcs,68.14,15331.25
Showroom,55 Pcs,278.75,15331.25
Warehouse Satarkul,170 Pcs,,
Profile Handle Polished L-Type 18mm*3M 01-2107,184 Pcs,293.16,53942.12
Showroom,51 Pcs,1057.69,53942.12
Warehouse Satarkul,133 Pcs,,
Profile Handle Shining L-Type/Heavy 18mm*3M 01-2105,60 Pcs,,
Warehouse Satarkul,60 Pcs,,
Profile Skirting SS304 3*37*10mm*2.44M Silver/Shiny 01-3741,70 Pcs,1200.00,84000.00
Showroom,70 Pcs,1200.00,84000.00
Profile Skirting SS304 60*0.8mm*2.44M Gold/Shiny 01-3749,78 Pcs,1355.77,105750.00
Showroom,78 Pcs,1355.77,105750.00
Profile Skirting SS304 60*0.8mm*2.44M Silver/Shiny 01-3749,60 Pcs,1300.00,78000.00
Showroom,60 Pcs,1300.00,78000.00
Profile Tee Brass 5mm*2M 01-3834,47 Pcs,1810.94,85114.06
Showroom,47 Pcs,1810.94,85114.06
Profile Tee Brass 8mm*3M 01-3834,109 Pcs,1085.12,118277.56
Showroom,22 Pcs,472.62,10397.56
Warehouse Satarkul,87 Pcs,1240.00,107880.00
Profile Tee SS304 10mm*2.44M Gold/Shiny 01-3832,460 Pcs,140.73,64733.94
Showroom,60 Pcs,1078.90,64733.94
Warehouse Satarkul,400 Pcs,,
Profile Tee SS304 10mm*2.44M Rose Gold/Shiny 01-3832,228 Pcs,1408.00,321024.00
Showroom,228 Pcs,1408.00,321024.00
Profile Tee SS304 10mm*2.44M Silver/Shiny 01-3832,196 Pcs,281.22,55120.00
Showroom,90 Pcs,,
Warehouse Satarkul,106 Pcs,520.00,55120.00
Profile Tee SS304 12mm*2.44M Gold/Shiny 01-3833,252 Pcs,,
Showroom,52 Pcs,,
Warehouse Satarkul,200 Pcs,,
Profile Tee SS304 12mm*2.44M Silver/Shiny 01-3833,204 Pcs,305.88,62400.00
Showroom,100 Pcs,,
Warehouse Satarkul,104 Pcs,600.00,62400.00
Profile Tee SS304 6mm*2.44M Rose Gold/Shiny 01-3831,334 Pcs,1000.00,334000.00
Showroom,334 Pcs,1000.00,334000.00
Profile Tee SS304 6mm*2.44M Silver/Shiny 01-3831,205 Pcs,266.34,54600.00
Showroom,100 Pcs,,
Warehouse Satarkul,105 Pcs,520.00,54600.00
Profile Tee SS304 8mm*2.44M Black/Matt 01-3830,122 Pcs,600.00,73200.00
Showroom,122 Pcs,600.00,73200.00
Profile Tee SS304 8mm*2.44M Black/Shiny 01-3830,147 Pcs,600.00,88200.00
Showroom,147 Pcs,600.00,88200.00
Profile Tee SS304 8mm*2.44M Brush Rose Gold 01-3830,250 Pcs,,
Showroom,50 Pcs,,
Warehouse Satarkul,200 Pcs,,
Profile Tee SS304 8mm*2.44M Gold/Matt 01-3830,44 Pcs,600.00,26400.00
Showroom,44 Pcs,600.00,26400.00
Profile Tee SS304 8mm*2.44M Rose Gold/Shiny 01-3830,198 Pcs,114.06,22583.30
Showroom,98 Pcs,230.44,22583.30
Warehouse Satarkul,100 Pcs,,
Profile Tee SS304 8mm*2.44M Silver/Shiny 01-3830,299 Pcs,323.47,96716.58
Showroom,194 Pcs,195.45,37916.58
Warehouse Satarkul,105 Pcs,560.00,58800.00
Profile Tee SS304 8mm*2.4M Brush Gold 01-3830,195 Pcs,,
Showroom,95 Pcs,,
Warehouse Satarkul,100 Pcs,,
Profile Tee SS304 8mm*2.4M Gold/Shiny 01-3830,499 Pcs,425.97,212559.66
Showroom,94 Pcs,20.85,1959.66
Warehouse Satarkul,405 Pcs,520.00,210600.00
Profile U-Edge SS304 10*10mm*2.44M Gold/Shiny 01-3750,149 Pcs,440.87,65690.00
Showroom,96 Pcs,419.27,40250.00
Warehouse Satarkul,53 Pcs,480.00,25440.00
Profile U-Edge SS304 10*10mm*2.44M Rose Gold/Shiny 01-3750,62 Pcs,875.00,54250.00
Showroom,62 Pcs,875.00,54250.00
Profile U-Edge SS304 25*10mm*2.44M Gold/Shiny 01-3754,109 Pcs,737.34,80369.62
Showroom,78 Pcs,1030.38,80369.62
Warehouse Satarkul,31 Pcs,,
Profile U-Edge SS304 25*10mm*2.44M Rose Gold/Shiny 01-3754,80 Pcs,1100.00,88000.00
Showroom,80 Pcs,1100.00,88000.00
Profile U-Edge SS304 30*10mm*2.44M Gold/Shiny 01-3755,68 Pcs,1150.00,78200.00
Showroom,68 Pcs,1150.00,78200.00
Profile U-Edge SS304 30*10mm*2.44M Rose Gold/Shiny 01-3755,6 Pcs,1150.00,6900.00
Showroom,6 Pcs,1150.00,6900.00
Profile U-Edge SS304 3*10mm*2.44M Gold/Shiny 01-3752,209 Pcs,959.65,200566.60
