,Quantity,Rate,Value
Showroom,17 Pcs,158.00,2686.00
Tee Channel SS 2.5m 01-3607,355 Pcs,21.79,7735.00
Showroom,13 Pcs,595.00,7735.00
Warehouse Satarkul,342 Pcs,,
Tiles Channal H-Type 25*2.6M Shining 01-3740,108 Pcs,385.06,41586.68
Showroom,23 Pcs,27.31,628.14
Warehouse Badda,85 Pcs,481.87,40958.54
Tiles Channal L-Type 12*2.44M Shining 01-3740,239 Pcs,128.56,30724.81
Showroom,61 Pcs,68.77,4194.88
Warehouse Badda,178 Pcs,149.04,26529.93
Tiles Channal T-Type 18*2.6m Shining 01-3740,82 Pcs,278.23,22814.80
Showroom,82 Pcs,278.23,22814.80
Tiles Channel Flat 25*2.6M Shining Hair Line 01-3740,895 Pcs,339.89,304197.88
Showroom,55 Pcs,60.37,3320.22
Warehouse Badda,840 Pcs,358.19,300877.66
Toilet Partition Joint Profile 12mm Matt Black 01-0251,50 Pcs,390.75,19537.50
Showroom,21 Pcs,530.36,11137.50
Warehouse Badda,29 Pcs,289.66,8400.00
Toilet Partition Joint Profile 12mm Shining 01-0251,46 Pcs,234.22,10774.26
Showroom,46 Pcs,234.22,10774.26
Toilet Partition Joint Profile 18mm Matt Black 01-0251,50 Pcs,483.91,24195.63
Showroom,10 Pcs,559.56,5595.63
Warehouse Badda,40 Pcs,465.00,18600.00
Toilet Partition Joint Profile 18mm Shining 01-0251,107 Pcs,450.07,48157.21
Showroom,37 Pcs,304.58,11269.31
Warehouse Badda,70 Pcs,526.97,36887.90
Toilet Partition Stoper Profile 12mm Matt Black 01-0251,132 Pcs,499.96,65994.43
Showroom,52 Pcs,461.43,23994.43
Warehouse Badda,80 Pcs,525.00,42000.00
Toilet Partition Stoper Profile 12mm Shining 01-0251,314 Pcs,334.58,105058.05
Showroom,54 Pcs,128.27,6926.56
Warehouse Badda,260 Pcs,377.43,98131.49
Toilet Partition Stoper Profile 18mm Matt Black 01-0251,174 Pcs,209.67,36482.72
Showroom,130 Pcs,102.94,13382.72
Warehouse Badda,44 Pcs,525.00,23100.00
Toilet Partition Stoper Profile 18mm Shining 01-0251,213 Pcs,396.93,84545.86
Showroom,213 Pcs,396.93,84545.86
Toilet Partition Top Profile 12*18mm*3M Matt Black 01-0251,-4 Pcs,524.38,-2097.50
Showroom,-4 Pcs,524.38,-2097.50
Toilet Partition Top Profile 12*18mm*3M Shining 01-0251,-12 Pcs,472.50,-5670.00
Showroom,-7 Pcs,135.00,-945.00
Warehouse Satarkul,-5 Pcs,945.00,-4725.00
Toilet Partition Top Profile 12*18mm*6Mtr Matt Black 01-0251,33 Pcs,,
Showroom,4 Pcs,,
Warehouse Satarkul,29 Pcs,,
Toilet Partition Top Profile 12*18mm*6Mtr Shining 01-0251,109 Pcs,75.02,8176.92
Showroom,1 Pcs,4252.00,4252.00
Warehouse Satarkul,108 Pcs,36.34,3924.92
Top Channel Wooden Door Large Cut to Size/100kg 02-3408,-7 rft,217.50,-1522.50
Showroom,-7 rft,217.50,-1522.50
Track Bottom /silver 3.0m 01-3415,2 Pcs,610.00,1220.00
Showroom,2 Pcs,610.00,1220.00
Track Bottom/silver/3m 01-5914,26 Pcs,390.00,10140.00
Warehouse Badda,26 Pcs,390.00,10140.00
Track Connections for 01-3336,288 Pcs,29.00,8352.00
Warehouse Badda,288 Pcs,29.00,8352.00
Track Plug For 01-3336,90 Pcs,29.00,2610.00
Warehouse Badda,90 Pcs,29.00,2610.00
Track /Silver 3.0m 01-3336,16 Pcs,660.00,10560.00
Warehouse Badda,16 Pcs,660.00,10560.00
Track Stopper 01-3336,90 Pcs,21.00,1890.00
Warehouse Badda,90 Pcs,21.00,1890.00
Track Top/silver/3m 01-5914,8 Pcs,2080.00,16640.00
Warehouse Badda,8 Pcs,2080.00,16640.00
Track Under For Wooden Door/Silver 3m 01-5902,8 Pcs,500.00,4000.00
Warehouse Badda,8 Pcs,500.00,4000.00
Track Up and Bottom/silver/3 Meter 01-5913,45 Pcs,436.74,19653.33
Showroom,1 Pcs,293.33,293.33
Warehouse Badda,44 Pcs,440.00,19360.00
Track Up+Bottom/2part Set/silver/3.0m 01-3335,2 Pcs,4500.00,9000.00
Showroom,2 Pcs,4500.00,9000.00
Track Up+Bottom /2part Set/silver/3m 01-5920,9 Pcs,,
Showroom,1 Pcs,,
Warehouse Badda,8 Pcs,,
Track Up+Bottom+Cover/3set/silver/3m/01-5901,19 Pcs,4833.68,91840.00
Showroom,1 Pcs,3280.00,3280.00
Warehouse Badda,18 Pcs,4920.00,88560.00
Track Up/silver/3.0m 01-3415,19 Pcs,1717.11,32625.00
Showroom,-1 Pcs,2175.00,-2175.00
Warehouse Badda,20 Pcs,1740.00,34800.00
Track Up/silver/3m 01-5902,29 Pcs,230.00,6670.00
Warehouse Badda,29 Pcs,230.00,6670.00
Track Up Single/silver/3meter 01-5912,24 Pcs,610.00,14640.00
Showroom,3 Pcs,610.00,1830.00
Warehouse Badda,21 Pcs,610.00,12810.00
U-Channel 10mm*3M Alu 01-3606,350 Pcs,17.14,6000.00
Warehouse Satarkul,350 Pcs,17.14,6000.00
U-Channel 3*3M Alu 01-3606,100 Pcs,,
Warehouse Satarkul,100 Pcs,,
U-Channel 5*2.44M Alu 01-3606,206 Pcs,281.00,57886.00
Showroom,206 Pcs,281.00,57886.00
U-Channel 8*2.44M Alu 01-3609,582 Pcs,75.04,43676.13
Showroom,182 Pcs,239.98,43676.13
Warehouse Satarkul,400 Pcs,,
U-Channel 8mm*3M Alu 01-3606,250 Pcs,98.00,24500.00
Warehouse Satarkul,250 Pcs,98.00,24500.00
U-Channel SS/ Heavy 10mm*2.44M 01-3606,75 Pcs,,
Showroom,75 Pcs,,
Up and Dwon Shutter Frame/Silver/3M 01-5920,10 Pcs,788.00,7880.00
Warehouse Badda,10 Pcs,788.00,7880.00
Grand Total,,,9687437.86
